iter	Passed	Remaining
420	2212	3042
421	2218	3038
422	2222	3031
423	2227	3025
424	2233	3022
425	2239	3017
426	2244	3011
427	2250	3008
428	2256	3002
429	2262	2998
430	2268	2994
431	2270	2985
432	2274	2978
433	2279	2973
434	2284	2967
435	2290	2962
436	2293	2954
437	2296	2946
438	2299	2938
439	2302	2930
440	2304	2921
441	2308	2913
442	2310	2905
443	2311	2894
444	2314	2886
445	2316	2877
446	2318	2868
447	2321	2860
448	2324	2852
449	2326	2843
450	2329	2835
451	2332	2828
452	2335	2820
453	2337	2810
454	2339	2802
455	2342	2794
456	2344	2786
457	2348	2779
458	2351	2771
459	2354	2763
460	2357	2756
461	2360	2748
462	2363	2740
463	2366	2733
464	2368	2725
465	2369	2715
466	2372	2707
467	2373	2698
468	2376	2690
469	2378	2682
470	2379	2672
471	2382	2664
472	2384	2656
473	2387	2649
474	2390	2641
475	2392	2633
476	2394	2625
477	2397	2617
478	2399	2610
479	2402	2602
480	2404	2594
481	2407	2587
482	2409	2579
483	2412	2571
484	2414	2564
485	2417	2556
486	2419	2549
487	2422	2541
488	2424	2533
489	2426	2525
490	2428	2517
491	2431	2510
492	2434	2503
493	2437	2496
494	2439	2489
495	2441	2480
496	2443	2473
497	2446	2466
498	2449	2459
499	2453	2453
500	2456	2447
501	2461	2442
502	2466	2437
503	2471	2432
504	2475	2426
505	2480	2421
506	2485	2416
507	2491	2412
508	2496	2408
509	2502	2404
510	2508	2400
511	2513	2395
512	2518	2390
513	2523	2386
514	2529	2382
515	2554	2396
516	2562	2393
517	2567	2388
518	2572	2383
519	2577	2378
520	2582	2373
521	2587	2369
522	2591	2363
523	2596	2358
524	2601	2353
525	2605	2348
526	2610	2342
527	2615	2337
528	2620	2332
529	2624	2327
530	2629	2322
531	2634	2317
532	2640	2313
533	2645	2308
534	2647	2301
535	2652	2296
536	2657	2291
537	2663	2287
538	2669	2283
539	2674	2278
540	2679	2273
541	2685	2268
542	2689	2263
543	2695	2259
544	2700	2254
545	2705	2249
546	2709	2244
547	2714	2238
548	2716	2231
549	2721	2226
550	2726	2221
551	2731	2216
552	2735	2211
553	2740	2206
554	2745	2201
555	2747	2194
556	2752	2189
557	2756	2183
558	2761	2178
559	2766	2173
560	2770	2167
561	2774	2162
562	2779	2157
563	2783	2151
564	2788	2146
565	2793	2142
566	2797	2136
567	2802	2131
568	2807	2126
569	2811	2120
570	2816	2115
571	2821	2110
572	2826	2105
573	2833	2103
574	2841	2100
575	2848	2096
576	2854	2092
577	2861	2088
578	2867	2085
579	2873	2080
580	2880	2077
581	2885	2072
582	2891	2068
583	2897	2063
584	2902	2059
585	2908	2054
586	2914	2050
587	2920	2046
588	2926	2041
589	2932	2037
590	2937	2033
591	2943	2028
592	2949	2024
593	2955	2020
594	2961	2015
595	2966	2011
596	2972	2006
597	2978	2002
598	2984	1997
599	2990	1993
600	2996	1989
601	3002	1985
602	3008	1980
603	3014	1976
604	3021	1972
605	3027	1968
606	3035	1965
607	3042	1961
608	3049	1957
609	3055	1953
610	3061	1948
611	3067	1944
612	3073	1940
613	3078	1935
614	3084	1931
615	3091	1926
616	3097	1922
617	3102	1918
618	3108	1913
619	3114	1908
620	3121	1904
621	3127	1900
622	3133	1895
623	3138	1891
624	3144	1886
625	3149	1881
626	3154	1876
627	3158	1871
628	3164	1866
629	3169	1861
630	3173	1855
631	3179	1851
632	3186	1847
633	3190	1842
634	3195	1836
635	3200	1832
636	3207	1827
637	3211	1822
638	3216	1816
639	3221	1812
640	3226	1807
641	3233	1803
642	3238	1797
643	3243	1792
644	3249	1788
645	3254	1783
646	3260	1778
647	3265	1773
648	3270	1768
649	3275	1763
650	3280	1758
651	3284	1753
652	3290	1748
653	3295	1743
654	3299	1738
655	3305	1733
656	3310	1728
657	3314	1722
658	3320	1718
659	3325	1712
660	3331	1708
661	3337	1704
662	3342	1699
663	3348	1694
664	3353	1689
665	3359	1684
666	3366	1680
667	3372	1676
668	3378	1671
669	3384	1666
670	3388	1661
671	3393	1656
672	3398	1651
673	3402	1645
674	3407	1640
675	3412	1635
676	3416	1630
677	3422	1625
678	3428	1620
679	3432	1615
680	3437	1610
681	3442	1605
682	3447	1600
683	3452	1594
684	3457	1590
685	3462	1584
686	3466	1579
