iter	RMSE
0	254.9267583
1	252.5596293
2	249.8067539
3	247.8857649
4	246.4875933
5	244.4951627
6	242.9587196
7	241.452106
8	238.3965397
9	236.5564451
10	234.8749226
11	232.423793
12	230.3502147
13	228.6574469
14	227.0833803
15	225.4057254
16	224.1731075
17	222.4744972
18	220.9743286
19	219.2380909
20	217.3409435
21	215.8457518
22	214.4855137
23	212.8690305
24	211.3910252
25	209.3184392
26	207.6924985
27	206.0729353
28	204.0900255
29	202.8343538
30	201.3703055
31	199.6673189
32	197.7998013
33	196.313377
34	194.7965424
35	193.4952104
36	192.1697609
37	190.873242
38	189.3531684
39	188.0224346
40	186.692341
41	185.4566977
42	184.244448
43	182.7797514
44	181.7012772
45	180.4484788
46	179.2150213
47	177.419556
48	176.345232
49	175.2894834
50	174.3459197
51	173.3919594
52	172.3791957
53	171.1943819
54	169.4281513
55	168.4515745
56	167.5356904
57	166.3091676
58	165.2866724
59	164.236296
60	163.2325296
61	162.3055813
62	161.4440308
63	160.3944962
64	159.2677745
65	157.9771422
66	156.9390365
67	155.8152313
68	154.4356462
69	153.4359152
70	152.6562402
71	151.6452381
72	150.773234
73	149.8495514
74	148.7628213
75	147.8097488
76	146.9369473
77	146.0167633
78	144.9884667
79	144.0457091
80	143.1873751
81	142.2787481
82	141.4015161
83	140.0835601
84	139.1806124
85	138.2990383
86	137.5702824
87	136.5654724
88	135.5658502
89	134.2846062
90	133.3608015
91	132.5832248
92	131.9340031
93	131.0944856
94	129.8310651
95	128.4947183
96	127.8564597
97	127.0285043
98	126.1692085
99	125.3882862
100	124.6354232
101	123.8515845
102	123.2142634
103	122.3544928
104	121.6726827
105	121.0607325
106	120.4929049
107	119.9468244
108	119.4069312
109	118.2433117
110	117.3958468
111	116.5415039
112	115.2215748
113	114.0922741
114	113.3449125
115	112.6175462
116	111.9690327
117	111.3809204
118	110.6858168
119	109.9688131
120	108.784222
121	108.2191991
122	107.6665911
123	107.0922268
124	106.5113342
125	105.9971683
126	105.536316
127	104.9109064
128	104.4064855
129	103.8531875
130	103.1994217
131	102.2412052
132	101.6225745
133	101.1011753
134	100.4403106
135	99.94299069
136	99.27741165
137	98.72908973
138	98.27255227
139	97.82322938
140	97.38970424
141	96.99299474
142	96.47096607
143	95.77515237
144	95.32177765
145	94.88032958
146	94.43899309
147	93.42865064
148	92.96593691
149	92.48973042
150	92.02036493
151	91.58976367
152	91.15071055
153	90.63482238
154	90.22250149
155	89.74089642
